runNumber,percentTRUE,percentCOVERED,method
1,55.00000000000001,96,group_equal
2,78,100,group_equal
3,92,98,group_equal
4,83,96,group_equal
5,98,98,group_equal
6,100,100,group_equal
7,97,97,group_equal
8,96,96,group_equal
9,100,99,group_equal
10,100,99,group_equal
11,100,100,group_equal
12,100,100,group_equal
13,100,100,group_equal
14,100,100,group_equal
15,100,100,group_equal
16,100,100,group_equal
17,100,98,group_equal
18,100,100,group_equal
19,100,100,group_equal
20,100,100,group_equal
21,100,100,group_equal
22,100,100,group_equal
23,100,100,group_equal
24,100,100,group_equal
25,100,100,group_equal
26,100,99,group_equal
27,100,92,group_equal
28,100,100,group_equal
29,100,100,group_equal
30,100,100,group_equal
31,100,100,group_equal
32,100,100,group_equal
33,100,96,group_equal
34,100,100,group_equal
35,100,100,group_equal
36,100,100,group_equal
37,100,100,group_equal
38,100,100,group_equal
39,100,100,group_equal
40,100,100,group_equal
41,100,100,group_equal
42,100,100,group_equal
43,100,100,group_equal
44,100,98,group_equal
45,100,100,group_equal
46,100,100,group_equal
47,100,100,group_equal
48,100,100,group_equal
49,100,100,group_equal
50,100,100,group_equal
51,100,100,group_equal
52,100,96,group_equal
53,100,100,group_equal
54,100,100,group_equal
55,100,100,group_equal
56,100,100,group_equal
57,100,100,group_equal
58,100,100,group_equal
59,100,98,group_equal
60,100,99,group_equal
61,100,100,group_equal
62,100,100,group_equal
63,100,100,group_equal
64,100,100,group_equal
65,100,100,group_equal
66,100,100,group_equal
67,100,100,group_equal
68,100,100,group_equal
69,100,100,group_equal
70,100,93,group_equal
71,100,100,group_equal
72,100,100,group_equal
73,100,100,group_equal
74,100,100,group_equal
75,100,100,group_equal
76,100,100,group_equal
77,100,100,group_equal
78,100,100,group_equal
79,100,99,group_equal
80,100,99,group_equal
81,100,100,group_equal
82,100,100,group_equal
83,100,84,group_equal
84,100,99,group_equal
85,100,99,group_equal
86,100,98,group_equal
87,100,98,group_equal
88,100,100,group_equal
1,55.00000000000001,98,group_kmeans
2,74,94,group_kmeans
3,96,100,group_kmeans
4,85,94,group_kmeans
5,93,97,group_kmeans
6,94,98,group_kmeans
7,97,97,group_kmeans
8,100,100,group_kmeans
9,100,99,group_kmeans
10,100,100,group_kmeans
11,100,100,group_kmeans
12,100,94,group_kmeans
13,100,99,group_kmeans
14,100,96,group_kmeans
15,100,100,group_kmeans
16,100,100,group_kmeans
17,100,99,group_kmeans
18,100,95,group_kmeans
19,100,100,group_kmeans
20,100,100,group_kmeans
21,100,100,group_kmeans
22,100,100,group_kmeans
23,100,100,group_kmeans
24,100,97,group_kmeans
25,100,99,group_kmeans
26,100,97,group_kmeans
27,100,100,group_kmeans
28,100,100,group_kmeans
29,100,100,group_kmeans
30,100,100,group_kmeans
31,100,100,group_kmeans
32,100,100,group_kmeans
33,100,100,group_kmeans
34,100,100,group_kmeans
35,100,100,group_kmeans
36,100,100,group_kmeans
37,100,100,group_kmeans
38,100,100,group_kmeans
39,100,100,group_kmeans
40,100,100,group_kmeans
41,100,100,group_kmeans
42,100,99,group_kmeans
43,100,100,group_kmeans
44,100,100,group_kmeans
45,100,99,group_kmeans
46,100,100,group_kmeans
47,100,100,group_kmeans
48,100,98,group_kmeans
49,100,100,group_kmeans
50,100,100,group_kmeans
51,100,100,group_kmeans
52,100,100,group_kmeans
53,100,100,group_kmeans
54,100,100,group_kmeans
55,100,99,group_kmeans
56,100,100,group_kmeans
57,100,100,group_kmeans
58,100,100,group_kmeans
59,100,100,group_kmeans
60,100,100,group_kmeans
61,100,100,group_kmeans
62,100,99,group_kmeans
63,100,100,group_kmeans
64,100,100,group_kmeans
65,100,99,group_kmeans
66,100,99,group_kmeans
67,100,100,group_kmeans
68,100,100,group_kmeans
69,100,100,group_kmeans
70,100,100,group_kmeans
71,100,100,group_kmeans
72,100,100,group_kmeans
73,100,96,group_kmeans
74,100,100,group_kmeans
75,100,100,group_kmeans
76,100,100,group_kmeans
77,100,100,group_kmeans
78,100,98,group_kmeans
79,100,100,group_kmeans
80,100,100,group_kmeans
81,100,100,group_kmeans
82,100,98,group_kmeans
83,100,100,group_kmeans
84,100,100,group_kmeans
85,100,100,group_kmeans
86,100,100,group_kmeans
87,100,100,group_kmeans
88,100,100,group_kmeans
1,67,96,group_quantile
2,85,97,group_quantile
3,94,100,group_quantile
4,98,98,group_quantile
5,98,98,group_quantile
6,99,99,group_quantile
7,99,98,group_quantile
8,100,99,group_quantile
9,100,100,group_quantile
10,100,100,group_quantile
11,100,99,group_quantile
12,100,100,group_quantile
13,100,100,group_quantile
14,100,98,group_quantile
15,100,98,group_quantile
16,100,95,group_quantile
17,100,100,group_quantile
18,100,100,group_quantile
19,100,99,group_quantile
20,100,100,group_quantile
21,100,100,group_quantile
22,100,100,group_quantile
23,100,100,group_quantile
24,100,100,group_quantile
25,100,99,group_quantile
26,100,100,group_quantile
27,100,100,group_quantile
28,100,97,group_quantile
29,100,100,group_quantile
30,100,100,group_quantile
31,100,97,group_quantile
32,100,100,group_quantile
33,100,100,group_quantile
34,100,99,group_quantile
35,100,100,group_quantile
36,100,100,group_quantile
37,100,99,group_quantile
38,100,100,group_quantile
39,100,100,group_quantile
40,100,100,group_quantile
41,100,100,group_quantile
42,100,100,group_quantile
43,100,100,group_quantile
44,100,100,group_quantile
45,100,99,group_quantile
46,100,100,group_quantile
47,100,100,group_quantile
48,100,100,group_quantile
49,100,98,group_quantile
50,100,100,group_quantile
51,100,100,group_quantile
52,100,100,group_quantile
53,100,99,group_quantile
54,100,100,group_quantile
55,100,100,group_quantile
56,100,99,group_quantile
57,100,95,group_quantile
58,100,100,group_quantile
59,100,100,group_quantile
60,100,100,group_quantile
61,100,100,group_quantile
62,100,100,group_quantile
63,100,100,group_quantile
64,100,100,group_quantile
65,100,100,group_quantile
66,100,80,group_quantile
67,100,100,group_quantile
68,100,100,group_quantile
69,100,100,group_quantile
70,100,100,group_quantile
71,100,100,group_quantile
72,100,100,group_quantile
73,100,100,group_quantile
74,100,100,group_quantile
75,100,100,group_quantile
76,100,100,group_quantile
77,100,100,group_quantile
78,100,100,group_quantile
79,100,100,group_quantile
80,100,99,group_quantile
81,100,100,group_quantile
82,100,100,group_quantile
83,100,100,group_quantile
84,100,100,group_quantile
85,100,100,group_quantile
86,100,100,group_quantile
87,100,100,group_quantile
88,100,100,group_quantile
1,75,97,group_customQuantile
2,89,98,group_customQuantile
3,94,97,group_customQuantile
4,98,99,group_customQuantile
5,100,100,group_customQuantile
6,97,96,group_customQuantile
7,99,91,group_customQuantile
8,100,99,group_customQuantile
9,100,99,group_customQuantile
10,100,100,group_customQuantile
11,100,99,group_customQuantile
12,100,100,group_customQuantile
13,100,100,group_customQuantile
14,100,99,group_customQuantile
15,100,99,group_customQuantile
16,100,98,group_customQuantile
17,100,99,group_customQuantile
18,100,100,group_customQuantile
19,100,98,group_customQuantile
20,100,100,group_customQuantile
21,100,99,group_customQuantile
22,100,98,group_customQuantile
23,100,100,group_customQuantile
24,100,100,group_customQuantile
25,100,99,group_customQuantile
26,100,100,group_customQuantile
27,100,100,group_customQuantile
28,100,100,group_customQuantile
29,100,99,group_customQuantile
30,100,98,group_customQuantile
31,100,100,group_customQuantile
32,100,99,group_customQuantile
33,100,100,group_customQuantile
34,100,100,group_customQuantile
35,100,100,group_customQuantile
36,100,100,group_customQuantile
37,100,100,group_customQuantile
38,100,100,group_customQuantile
39,100,100,group_customQuantile
40,100,95,group_customQuantile
41,100,100,group_customQuantile
42,100,100,group_customQuantile
43,100,100,group_customQuantile
44,100,93,group_customQuantile
45,100,100,group_customQuantile
46,100,100,group_customQuantile
47,100,100,group_customQuantile
48,100,100,group_customQuantile
49,100,100,group_customQuantile
50,100,100,group_customQuantile
51,100,100,group_customQuantile
52,100,100,group_customQuantile
53,100,100,group_customQuantile
54,100,100,group_customQuantile
55,100,100,group_customQuantile
56,100,100,group_customQuantile
57,100,100,group_customQuantile
58,100,100,group_customQuantile
59,100,100,group_customQuantile
60,100,100,group_customQuantile
61,100,100,group_customQuantile
62,100,100,group_customQuantile
63,100,100,group_customQuantile
64,100,100,group_customQuantile
65,100,100,group_customQuantile
66,100,100,group_customQuantile
67,100,100,group_customQuantile
68,100,100,group_customQuantile
69,100,100,group_customQuantile
70,100,100,group_customQuantile
71,100,100,group_customQuantile
72,100,100,group_customQuantile
73,100,100,group_customQuantile
74,100,100,group_customQuantile
75,100,100,group_customQuantile
76,100,100,group_customQuantile
77,100,100,group_customQuantile
78,100,100,group_customQuantile
79,100,100,group_customQuantile
80,100,93,group_customQuantile
81,100,100,group_customQuantile
82,100,100,group_customQuantile
83,100,100,group_customQuantile
84,100,100,group_customQuantile
85,100,100,group_customQuantile
86,100,100,group_customQuantile
87,100,98,group_customQuantile
88,100,100,group_customQuantile
1,51,95,group_srs
2,65,92,group_srs
3,89,99,group_srs
4,65,87,group_srs
5,96,100,group_srs
6,97,96,group_srs
7,100,100,group_srs
8,100,100,group_srs
9,100,100,group_srs
10,96,96,group_srs
11,100,100,group_srs
12,100,100,group_srs
13,100,100,group_srs
14,100,100,group_srs
15,100,100,group_srs
16,100,100,group_srs
17,100,100,group_srs
18,100,100,group_srs
19,100,100,group_srs
20,100,100,group_srs
21,100,100,group_srs
22,100,100,group_srs
23,100,100,group_srs
24,100,100,group_srs
25,100,100,group_srs
26,100,100,group_srs
27,100,100,group_srs
28,100,100,group_srs
29,100,100,group_srs
30,100,100,group_srs
31,100,100,group_srs
32,100,100,group_srs
33,100,84,group_srs
34,100,100,group_srs
35,100,100,group_srs
36,100,100,group_srs
37,100,100,group_srs
38,100,100,group_srs
39,100,100,group_srs
40,100,100,group_srs
41,100,100,group_srs
42,100,100,group_srs
43,100,100,group_srs
44,100,100,group_srs
45,100,100,group_srs
46,100,100,group_srs
47,100,100,group_srs
48,100,100,group_srs
49,100,100,group_srs
50,100,100,group_srs
51,100,100,group_srs
52,100,100,group_srs
53,100,99,group_srs
54,100,100,group_srs
55,100,100,group_srs
56,100,100,group_srs
57,100,100,group_srs
58,100,100,group_srs
59,100,99,group_srs
60,100,100,group_srs
61,100,100,group_srs
62,100,100,group_srs
63,100,100,group_srs
64,100,100,group_srs
65,100,100,group_srs
66,100,100,group_srs
67,100,100,group_srs
68,100,100,group_srs
69,100,100,group_srs
70,100,100,group_srs
71,100,100,group_srs
72,100,100,group_srs
73,100,100,group_srs
74,100,100,group_srs
75,100,100,group_srs
76,100,100,group_srs
77,100,100,group_srs
78,100,100,group_srs
79,100,100,group_srs
80,100,100,group_srs
81,100,100,group_srs
82,100,95,group_srs
83,100,99,group_srs
84,100,92,group_srs
85,100,99,group_srs
86,100,100,group_srs
87,100,100,group_srs
88,100,95,group_srs
